"id","uid","st","et","sbt","wcId","sq1","sq2","sq3","eq1","eq2","v"
"1","1","1699520058636","1699520063971","-1","2","1","0","1","1","1","Nov_8_23"
"2","2","1699521231210","1699521240284","-1","2","1","2","1","4","4","Nov_8_23"
"3","3","1699557469872","1699557484397","-1","7","2","0","2","0","0","Nov_8_23"
"4","2","1699599093060","1699599098038","-1","6","1","1","1","1","1","Nov_8_23"
"5","4","1699599949030","1699599953009","-1","8","1","2","1","1","1","Nov_8_23"
"6","6","1699816712549","1699816725710","-1","10","1","1","1","1","1","Nov_8_23"
"7","6","1699817162851","1699817180151","-1","10","1","1","1","1","1","Nov_8_23"
"8","4","1699818745156","1699818752582","-1","8","1","1","1","1","1","Nov_8_23"
"9","4","1700430904243","1700430914326","-1","8","0","0","0","3","3","Nov_8_23"
"10","4","1700431556553","1700431562225","-1","8","1","2","1","1","1","Nov_8_23"
"11","4","1700456549925","1700456557164","-1","8","0","1","0","1","1","Nov_8_23"
"12","4","1700456649621","1700456653630","-1","8","1","2","1","2","2","Nov_8_23"
"13","4","1700456776591","1700456780325","-1","8","0","1","0","0","0","Nov_8_23"
"14","4","1700457262305","1700457308970","-1","8","0","1","0","0","0","Nov_8_23"
"15","4","1700457473553","1700457478996","-1","8","0","1","2","0","1","Nov_8_23"
"16","4","1700460780433","1700460782690","-1","11","1","1","1","3","3","Nov_8_23"
"17","4","1700504013860","1700504018696","-1","14","0","1","2","1","2","Nov_8_23"
"18","4","1700505760498","1700505763540","-1","15","0","1","2","1","2","Nov_8_23"
"19","8","1700507949686","1700507986576","-1","17","0","0","2","0","1","Nov_8_23"
"20","8","1700514476648","1700514809436","-1","17","0","0","1","0","3","Nov_8_23"
"21","9","1700529007365","1700529014707","-1","18","0","1","1","1","1","Nov_8_23"
"22","10","1700536572839","1700536584279","-1","20","1","1","1","1","1","Nov_8_23"
"23","5","1701053275435","1701053293870","-1","9","0","0","1","1","4","Nov_8_23"
"24","5","1701108727113","1701108729405","-1","23","1","1","1","1","1","Nov_8_23"
"25","11","1701127198782","1701128569716","-1","21","0","0","1","1","4","Nov_8_23"
"26","11","1701189528354","1701189939557","-1","21","1","0","1","1","4","Nov_8_23"
"27","11","1702067438140","1702068675701","-1","21","0","0","0","1","4","Nov_8_23"
"28","11","1702074160416","1702076543714","-1","21","0","0","1","1","4","Nov_8_23"
"29","8","1702590022927","1702592844260","-1","17","0","0","1","1","1","Nov_8_23"
"30","5","1704741408128","1704741456117","-1","9","1","1","1","1","2","Nov_8_23"
"31","5","1706306834978","1706306842228","-1","23","1","1","1","1","1","Nov_8_23"
"32","5","1706635803158","1706636199103","-1","23","1","1","1","1","1","Nov_8_23"
"33","4","1706825103190","1706825107322","-1","14","1","1","1","1","1","Nov_8_23"
"34","4","1706913051044","1706913096567","-1","13","1","1","1","1","1","Nov_8_23"
"35","14","1708041065313","1708041080862","-1","26","1","1","1","1","1","Nov_8_23"
"36","14","1708041289854","1708041302937","-1","26","1","1","1","1","1","Nov_8_23"
"37","14","1708041648423","1708041659585","-1","26","1","1","1","1","1","Nov_8_23"
"38","14","1708043951112","1708043955077","-1","26","1","1","1","1","1","Nov_8_23"
"39","14","1708044013079","1708044026611","-1","26","1","1","1","1","1","Nov_8_23"
"40","14","1708044107271","1708044109718","-1","26","1","1","1","1","1","Nov_8_23"
"41","14","1708044589594","1708044593942","-1","26","1","1","1","1","1","Nov_8_23"
"42","14","1708044589594","1708044593942","-1","26","1","1","1","1","1","Nov_8_23"
"43","14","1708044810512","1708044814578","-1","26","1","1","1","1","1","Nov_8_23"
"44","14","0","0","0","26","1","1","1","1","1","Nov_8_23"
"45","14","1708045125277","1708045129868","-1","26","1","1","1","1","1","Nov_8_23"
"46","14","0","0","0","26","1","1","1","1","1","Nov_8_23"
"47","14","1708045270150","1708045276233","-1","26","1","1","1","1","1","Nov_8_23"
"48","14","0","0","0","26","1","1","1","1","1","Nov_8_23"
"49","14","1708045476907","1708045491420","-1","26","1","1","1","1","1","Nov_8_23"
"50","14","1708476675399","1708476707231","-1","26","1","1","1","1","1","Nov_8_23"
"51","14","1708476675399","1708476707231","-1","26","1","1","1","1","1","Nov_8_23"
"52","4","1708914446052","1708914448575","-1","15","1","1","1","1","1","Nov_8_23"
"53","4","1708914470512","1708914472306","-1","14","1","1","1","1","1","Nov_8_23"
"54","15","1709227108989","1709227127333","-1","27","1","1","1","1","1","Nov_8_23"
"55","5","1706735072582","1706735099316","-1","9","1","1","1","1","1","Nov_8_23"
"56","14","1710459769528","1710459795920","-1","26","1","1","1","1","1","Nov_8_23"
"57","5","1710460389601","1710460399070","-1","9","1","1","1","1","1","Nov_8_23"
"58","4","1712219045069","1712219053155","-1","15","1","1","1","1","1","Nov_8_23"
